[INFO] Initializing Reborn VIO Automation Server...
[INFO] Local ADB path configured: /Volumes/SSD_cua_Dung/android_studio/platform-tools/adb
[INFO] Local AAPT path configured: /Volumes/SSD_cua_Dung/android_studio/build-tools/37.0.0/aapt
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.0.101:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Jun/2026 22:48:12] "GET /api/device-screen/f8d421db?t=1780328890450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:12] "GET /api/device-screen/f8d421db?t=1780328891250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:13] "GET /api/device-screen/f8d421db?t=1780328892050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:14] "GET /api/device-screen/f8d421db?t=1780328892850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:15] "GET /api/device-screen/f8d421db?t=1780328893650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:16] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:16] "GET /api/device-screen/f8d421db?t=1780328894450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:16] "GET /api/device-screen/f8d421db?t=1780328895250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:17] "GET /api/device-screen/f8d421db?t=1780328896050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:18] "GET /api/device-screen/f8d421db?t=1780328896850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:19] "GET /api/device-screen/f8d421db?t=1780328897650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:20] "GET /api/device-screen/f8d421db?t=1780328898451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:20] "GET /api/device-screen/f8d421db?t=1780328899250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:21] "GET /api/device-screen/f8d421db?t=1780328900050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:22] "GET /api/device-screen/f8d421db?t=1780328900850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:23] "GET /api/device-screen/f8d421db?t=1780328901650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:24] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:24] "GET /api/device-screen/f8d421db?t=1780328902450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:24] "GET /api/device-screen/f8d421db?t=1780328903250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:25] "GET /api/device-screen/f8d421db?t=1780328904051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:26] "GET /api/device-screen/f8d421db?t=1780328904850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:27] "GET /api/device-screen/f8d421db?t=1780328905650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:28] "GET /api/device-screen/f8d421db?t=1780328907251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:28] "GET /api/device-screen/f8d421db?t=1780328906450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:28] "GET /api/device-screen/f8d421db?t=1780328908050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:29] "GET /api/device-screen/f8d421db?t=1780328908850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:30] "GET /api/device-screen/f8d421db?t=1780328909650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:31] "GET /api/device-screen/f8d421db?t=1780328910450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:31] "GET /api/device-screen/f8d421db?t=1780328911250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:32] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:32] "GET /api/device-screen/f8d421db?t=1780328912051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:33] "GET /api/device-screen/f8d421db?t=1780328912850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:34] "GET /api/device-screen/f8d421db?t=1780328913650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:35] "GET /api/device-screen/f8d421db?t=1780328914450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:35] "GET /api/device-screen/f8d421db?t=1780328915250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:36] "GET /api/device-screen/f8d421db?t=1780328916050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:37] "GET /api/device-screen/f8d421db?t=1780328916850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:38] "GET /api/device-screen/f8d421db?t=1780328917650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:39] "GET /api/device-screen/f8d421db?t=1780328918450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:39] "GET /api/device-screen/f8d421db?t=1780328919250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:40] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:40] "GET /api/device-screen/f8d421db?t=1780328920050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:41] "GET /api/device-screen/f8d421db?t=1780328920850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:42] "GET /api/device-screen/f8d421db?t=1780328921650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:43] "GET /api/device-screen/f8d421db?t=1780328922450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:43] "GET /api/device-screen/f8d421db?t=1780328923250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:44] "GET /api/device-screen/f8d421db?t=1780328924050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:45] "GET /api/device-screen/f8d421db?t=1780328924849 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:46] "GET /api/device-screen/f8d421db?t=1780328925650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:47] "GET /api/device-screen/f8d421db?t=1780328926451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:47] "GET /api/device-screen/f8d421db?t=1780328927250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:48] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:48] "GET /api/device-screen/f8d421db?t=1780328928051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:49] "GET /api/device-screen/f8d421db?t=1780328928850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:50] "GET /api/device-screen/f8d421db?t=1780328929650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:50] "POST /api/apk-info HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:51] "GET /api/device-screen/f8d421db?t=1780328930450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:51] "GET /api/device-screen/f8d421db?t=1780328931250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:52] "GET /api/device-screen/f8d421db?t=1780328932050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:53] "GET /api/device-screen/f8d421db?t=1780328932850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:54] "GET /api/device-screen/f8d421db?t=1780328933650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:55] "GET /api/device-screen/f8d421db?t=1780328934450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:55] "GET /api/device-screen/f8d421db?t=1780328935250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:56] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:56] "GET /api/device-screen/f8d421db?t=1780328936051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:57] "GET /api/device-screen/f8d421db?t=1780328936850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:58] "GET /api/device-screen/f8d421db?t=1780328937649 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:59] "GET /api/device-screen/f8d421db?t=1780328938449 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:59] "GET /api/device-screen/f8d421db?t=1780328939250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:00] "GET /api/device-screen/f8d421db?t=1780328940050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:01] "GET /api/device-screen/f8d421db?t=1780328940850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:03] "GET /api/device-screen/f8d421db?t=1780328941651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:04] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:04] "GET /api/device-screen/f8d421db?t=1780328942449 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:05] "GET /api/device-screen/f8d421db?t=1780328943250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:05] "GET /api/device-screen/f8d421db?t=1780328944050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:06] "GET /api/device-screen/f8d421db?t=1780328944850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:07] "GET /api/device-screen/f8d421db?t=1780328945650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:08] "GET /api/device-screen/f8d421db?t=1780328946450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:09] "GET /api/device-screen/f8d421db?t=1780328947250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:10] "GET /api/device-screen/f8d421db?t=1780328948050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:10] "GET /api/device-screen/f8d421db?t=1780328948849 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:11] "GET /api/device-screen/f8d421db?t=1780328949650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:12] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:12] "GET /api/device-screen/f8d421db?t=1780328950450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:13] "GET /api/device-screen/f8d421db?t=1780328951250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:13] "GET /api/device-screen/f8d421db?t=1780328952050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:14] "GET /api/device-screen/f8d421db?t=1780328952851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:15] "GET /api/device-screen/f8d421db?t=1780328953650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:16] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:16] "GET /api/device-screen/f8d421db?t=1780328954451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:16] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:17] "GET /api/device-screen/f8d421db?t=1780328955250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:17] "GET /api/device-screen/f8d421db?t=1780328956050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:20] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:20] "GET /api/device-screen/f8d421db?t=1780328958450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:21] "GET /api/device-screen/f8d421db?t=1780328959250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:21] "GET /api/device-screen/f8d421db?t=1780328960051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:22] "GET /api/device-screen/f8d421db?t=1780328960850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:23] "GET /api/device-screen/f8d421db?t=1780328961650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:24] "GET /api/device-screen/f8d421db?t=1780328962450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:25] "GET /api/device-screen/f8d421db?t=1780328963250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:25] "GET /api/device-screen/f8d421db?t=1780328964050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:26] "GET /api/device-screen/f8d421db?t=1780328964850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:27] "GET /api/device-screen/f8d421db?t=1780328965650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:28] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:28] "GET /api/device-screen/f8d421db?t=1780328966450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:29] "GET /api/device-screen/f8d421db?t=1780328967250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:29] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:29] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:29] "GET /api/device-screen/f8d421db?t=1780328968050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:30] "GET /api/device-screen/f8d421db?t=1780328968850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:33] "GET /api/device-screen/f8d421db?t=1780328971250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:33] "GET /api/device-screen/f8d421db?t=1780328972050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:34] "GET /api/device-screen/f8d421db?t=1780328972850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:35] "GET /api/device-screen/f8d421db?t=1780328973650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:36] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:36] "GET /api/device-screen/f8d421db?t=1780328974450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:37] "GET /api/device-screen/f8d421db?t=1780328975250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:37] "GET /api/device-screen/f8d421db?t=1780328976051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:38] "GET /api/device-screen/f8d421db?t=1780328976851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:39] "GET /api/device-screen/f8d421db?t=1780328977650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:40] "GET /api/device-screen/f8d421db?t=1780328978450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:41] "GET /api/device-screen/f8d421db?t=1780328979250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:41] "GET /api/device-screen/f8d421db?t=1780328980050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:42] "GET /api/device-screen/f8d421db?t=1780328980850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:43] "GET /api/device-screen/f8d421db?t=1780328981650 HTTP/1.1" 200 -
